In,Out,Date,Time,Branch,Group,Security Gate
7,13,9/15/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
73,34,9/15/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
85,66,9/15/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
67,72,9/15/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,13,9/15/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
16,22,9/15/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,9/15/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/15/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
0,0,9/15/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
18,18,9/15/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
99,76,9/15/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
16,20,9/15/2022,6:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,4,9/15/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
8,32,9/15/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
7,7,9/15/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
3,3,9/15/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
4,8,9/15/2022,7:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
14,57,9/15/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
16,35,9/15/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
18,37,9/15/2022,7:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,7,9/15/2022,7:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
4,19,9/15/2022,7:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
2,3,9/15/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/15/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
0,0,9/15/2022,8:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
27,27,9/15/2022,8:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
19,25,9/15/2022,8:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
5,24,9/15/2022,8:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,9/15/2022,8:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
0,4,9/15/2022,8:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
26,33,9/15/2022,9:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,9,9/15/2022,9:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,23,9/15/2022,9:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,6,9/15/2022,10:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,0,9/15/2022,10:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,9/16/2022,3:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/16/2022,3:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,0,9/16/2022,3:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,2,9/16/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/16/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,1,9/16/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
3,1,9/16/2022,6:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
5,3,9/16/2022,6:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,4,9/16/2022,6:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/16/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
1,2,9/16/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
2,1,9/16/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,0,9/16/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
6,2,9/16/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,9/16/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,0,9/16/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
2,0,9/16/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
2,5,9/16/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,0,9/16/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/16/2022,8:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/16/2022,8:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
2,2,9/16/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
1,2,9/16/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,9/16/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,2,9/16/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,1,9/16/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
2,6,9/16/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
25,6,9/16/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,9/16/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,0,9/16/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/16/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
3,1,9/16/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
0,2,9/16/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,9/16/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
11,12,9/16/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,9/16/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
3,1,9/16/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
3,3,9/16/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
2,0,9/16/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
5,6,9/16/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
32,12,9/16/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,1,9/16/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
4,4,9/16/2022,1:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
8,18,9/16/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
43,25,9/16/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
4,4,9/16/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
20,27,9/16/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
3,2,9/16/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
16,21,9/16/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
4,6,9/16/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
10,24,9/16/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,9/16/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,2,9/16/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
1,0,9/16/2022,5:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,9/16/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
2,1,9/16/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,9,9/16/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
7,28,9/16/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/16/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
2,0,9/16/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/17/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/17/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
0,0,9/17/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
0,0,9/17/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,1,9/17/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
1,0,9/17/2022,5:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,2,9/18/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
5,4,9/18/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
2,3,9/18/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
18,5,9/18/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
2,0,9/18/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
13,6,9/18/2022,1:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
4,3,9/18/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
15,13,9/18/2022,2:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
3,3,9/18/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
11,15,9/18/2022,3:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
2,0,9/18/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
6,11,9/18/2022,4:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,2,9/18/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
10,16,9/18/2022,5:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,9/18/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
0,0,9/18/2022,6:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
0,1,9/18/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
2,6,9/18/2022,6:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
0,4,9/18/2022,7:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
1,9,9/18/2022,7:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/18/2022,8:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
3,1,9/18/2022,8:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/19/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,1,9/19/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
0,2,9/19/2022,6:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
8,3,9/19/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
1,1,9/19/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
5,2,9/19/2022,7:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
22,1,9/19/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
6,1,9/19/2022,7:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
1,0,9/19/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
3,2,9/19/2022,7:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
22,5,9/19/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,1,9/19/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
14,6,9/19/2022,8:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
50,3,9/19/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
3,5,9/19/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
19,2,9/19/2022,8:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
2,0,9/19/2022,8:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
5,1,9/19/2022,8:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
32,11,9/19/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
3,8,9/19/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
15,10,9/19/2022,9:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
75,10,9/19/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
0,12,9/19/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
10,9,9/19/2022,9:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
6,2,9/19/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
7,5,9/19/2022,9:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
49,17,9/19/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
2,8,9/19/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
21,27,9/19/2022,10:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
88,19,9/19/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
8,28,9/19/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
12,17,9/19/2022,10:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
5,2,9/19/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
42,16,9/19/2022,10:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
68,24,9/19/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
9,19,9/19/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
44,44,9/19/2022,11:00 AM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
105,39,9/19/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
6,53,9/19/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
26,61,9/19/2022,11:00 AM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
4,6,9/19/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
35,24,9/19/2022,11:00 AM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
92,18,9/19/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 1
5,25,9/19/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 1st Counter on Bus 2
54,52,9/19/2022,12:00 PM,Geisel,Geisel - East Entrance,FEIG Gate 2nd Counter on Bus 1
127,64,9/19/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 1
13,55,9/19/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 1st Counter on Bus 2
35,59,9/19/2022,12:00 PM,Geisel,Geisel - West Entrance,FEIG Gate 2nd Counter on Bus 1
5,7,9/19/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 1st Counter on Bus 1
33,27,9/19/2022,12:00 PM,WongAvery,WongAvery - Main Entrance,FEIG Gate 2nd Counter on Bus 1
